time,irradiance,H_sun,T2m,WS10m,Int,irradianceTotal
20231011:0910,110.77,21.69,16.78,4.34,0,39877.2
20231011:1010,359.91,27.36,17.16,4.34,0,129567.6
20231011:1110,340.65,30.79,17.56,4.14,0,122634
20231011:1210,455.13,31.52,18.18,4.14,0,163846.8
20231011:1310,144.74,29.44,18.31,4.14,0,52106.4
20231011:1410,119.19,24.86,18.42,4.83,0,42908.4
20231011:1510,96.64,18.32,18.08,4.34,0,34790.4
20231011:1610,63.78,10.38,17.73,3.79,0,22960.8
20231011:1710,0.91,1.57,16.98,3.45,0,327.6
20231011:1810,0,0,16.3,3.17,0,0
20231011:1910,0,0,15.83,2.28,0,0
20231011:2010,0,0,15.63,2,0,0
20231011:2110,0,0,15.58,1.45,0,0
20231011:2210,0,0,15.52,1.17,0,0
20231011:2310,0,0,15.43,0.76,0,0
20231012:0010,0,0,15.35,0.34,0,0
20231012:0110,0,0,14.68,2.34,0,0
20231012:0210,0,0,13.75,2.76,0,0
20231012:0310,0,0,13.12,2.69,0,0
20231012:0410,0,0,12.67,2.83,0,0
20231012:0510,0,0,12.38,2.83,0,0
20231012:0610,0,0,12.11,2.62,0,0
20231012:0710,28.26,5.65,11.99,2.28,0,10173.6
20231012:0810,83.21,14.07,12.05,2,0,29955.6
20231012:0910,95.54,21.38,12.14,2.07,0,34394.4
20231012:1010,79.46,27.02,12.34,1.72,0,28605.6
20231012:1110,107.84,30.42,12.59,1.45,0,38822.4
20231012:1210,138.11,31.14,13.05,1.31,0,49719.6
20231012:1310,100.27,29.06,13.64,0.9,0,36097.2
20231012:1410,104.06,24.49,14.23,0.55,0,37461.6
20231012:1510,76.62,17.96,14.85,1.24,0,27583.2
20231012:1610,39.73,10.04,15.28,1.59,0,14302.8
20231012:1710,0.91,1.24,15.1,0.83,0,327.6
20231012:1810,0,0,14.78,1.38,0,0
20231012:1910,0,0,15.11,2.21,0,0
20231012:2010,0,0,15.28,3.03,0,0
20231012:2110,0,0,15.28,3.24,0,0
20231012:2210,0,0,15.13,3.66,0,0
20231012:2310,0,0,14.93,4.21,0,0
20231013:0010,0,0,15.39,5.86,0,0
20231013:0110,0,0,16.32,6.97,0,0
20231013:0210,0,0,16.5,7.1,0,0
20231013:0310,0,0,16.63,7.79,0,0
20231013:0410,0,0,17.29,8.62,0,0
20231013:0510,0,0,17.77,8.48,0,0
20231013:0610,0,0,17.51,8,0,0
20231013:0710,51.35,5.38,17.58,7.03,0,18486
20231013:0810,43.52,13.79,17.59,6.48,0,15667.2
20231013:0910,545.67,21.07,17.46,6.83,0,196441.2
20231013:1010,357.1,26.68,17.49,6.14,0,128556
20231013:1110,690.85,30.06,17.74,6.28,0,248706
20231013:1210,229.3,30.76,17.98,6.28,0,82548
20231013:1310,73.79,28.68,18.18,5.52,0,26564.4
20231013:1410,79.46,24.12,17.79,4.55,0,28605.6
20231013:1510,131.03,17.6,16.31,3.59,0,47170.8
20231013:1610,10.41,9.7,14.57,4.9,0,3747.6
20231013:1710,0,0,12.56,5.1,0,0
20231013:1810,0,0,11.58,4.69,0,0
20231013:1910,0,0,10.64,4.55,0,0
20231013:2010,0,0,9.82,4,0,0
20231013:2110,0,0,9.24,3.66,0,0
20231013:2210,0,0,9.09,3.86,0,0
20231013:2310,0,0,9.09,4.21,0,0
20231014:0010,0,0,9.09,4.28,0,0
20231014:0110,0,0,8.89,4.14,0,0
20231014:0210,0,0,8.68,3.93,0,0
20231014:0310,0,0,8.42,3.72,0,0
20231014:0410,0,0,8.19,3.52,0,0
20231014:0510,0,0,7.99,3.38,0,0
20231014:0610,0,0,7.83,3.24,0,0
20231014:0710,81.33,5.11,7.69,2.83,0,29278.8
20231014:0810,332.76,13.5,8.51,2.69,0,119793.6
20231014:0910,406.79,20.76,9.57,3.59,0,146444.4
20231014:1010,270.5,26.34,10.29,3.72,0,97380
20231014:1110,435.4,29.69,11.04,4,0,156744
20231014:1210,451.76,30.38,11.51,4.21,0,162633.6
20231014:1310,638.04,28.31,11.78,4.34,0,229694.4
20231014:1410,279.06,23.76,12.02,4.62,0,100461.6
20231014:1510,242.83,17.25,11.8,4.48,0,87418.8
20231014:1610,144.28,9.36,11.37,3.79,0,51940.8
20231014:1710,0,0,10.19,3.24,0,0
20231014:1810,0,0,8.94,3.24,0,0
20231014:1910,0,0,8.53,3.1,0,0
20231014:2010,0,0,7.81,2.97,0,0
20231014:2110,0,0,7.3,2.76,0,0
20231014:2210,0,0,6.9,2.55,0,0
20231014:2310,0,0,6.37,2.48,0,0
20231015:0010,0,0,5.94,2.41,0,0
20231015:0110,0,0,5.56,2.41,0,0
20231015:0210,0,0,5.19,2.34,0,0
20231015:0310,0,0,4.9,2.21,0,0
20231015:0410,0,0,4.52,2.21,0,0
20231015:0510,0,0,4.02,2.07,0,0
20231015:0610,0,0,3.49,2.07,0,0
20231015:0710,67.07,4.84,3.29,2.07,0,24145.2
20231015:0810,335.34,13.21,4.89,1.59,0,120722.4
20231015:0910,537.56,20.45,7.65,2.21,0,193521.6
20231015:1010,728.97,26.01,8.66,2.97,0,262429.2
20231015:1110,812.49,29.33,9.41,3.03,0,292496.4
20231015:1210,782.02,30.01,9.92,2.69,0,281527.2
20231015:1310,673.85,27.93,10.22,2.48,0,242586
20231015:1410,526.12,23.39,10.36,2.48,0,189403.2
20231015:1510,349.14,16.9,10.29,2.41,0,125690.4
20231015:1610,157.06,9.02,9.9,1.93,0,56541.6
20231015:1710,0,0,9.04,1.52,0,0
20231015:1810,0,0,7.52,1.66,0,0
20231015:1910,0,0,6.2,2,0,0
20231015:2010,0,0,5.37,2.14,0,0
20231015:2110,0,0,4.81,2.21,0,0
20231015:2210,0,0,4.59,2.21,0,0
20231015:2310,0,0,4.37,2.28,0,0
20231016:0010,0,0,4.24,2.34,0,0
20231016:0110,0,0,4.11,2.21,0,0
20231016:0210,0,0,3.83,2.14,0,0
20231016:0310,0,0,3.75,2.21,0,0
20231016:0410,0,0,3.75,2.34,0,0
20231016:0510,0,0,4.17,2.62,0,0
20231016:0610,0,0,4.54,2.83,0,0
20231016:0710,50.5,4.57,4.18,2.9,0,18180
20231016:0810,112.7,12.92,4.92,3.17,0,40572
20231016:0910,339.27,20.13,6.22,3.52,0,122137.2
20231016:1010,121.09,25.67,7.6,3.93,0,43592.4
20231016:1110,164.81,28.97,9.12,4.21,0,59331.6
20231016:1210,175.33,29.64,10.17,4.34,0,63118.8
20231016:1310,188.38,27.56,10.9,4.48,0,67816.8
20231016:1410,244.33,23.03,11.24,4.9,0,87958.8
20231016:1510,115.63,16.55,11.42,4.62,0,41626.8
20231016:1610,26.49,8.69,11.14,3.79,0,9536.4
20231016:1710,0,0,10.44,3.79,0,0
20231016:1810,0,0,9.72,4.14,0,0
20231016:1910,0,0,9.16,4.48,0,0
20231016:2010,0,0,9.07,4.69,0,0
20231016:2110,0,0,9.13,4.83,0,0
20231016:2210,0,0,9.17,4.76,0,0
20231016:2310,0,0,9.27,4.83,0,0
20231017:0010,0,0,9.27,4.69,0,0
20231017:0110,0,0,9.34,4.41,0,0
20231017:0210,0,0,9.26,4.28,0,0
20231017:0310,0,0,9.17,4.21,0,0
20231017:0410,0,0,9.04,4.41,0,0
20231017:0510,0,0,9.03,4.69,0,0
20231017:0610,0,0,8.99,4.97,0,0
20231017:0710,32.03,4.3,8.5,4.97,0,11530.8
20231017:0810,177.01,12.64,8.92,5.31,0,63723.6
20231017:0910,327.46,19.82,9.64,4.9,0,117885.6
20231017:1010,359.1,25.33,10.63,6.21,0,129276
20231017:1110,732.32,28.62,11.57,6.34,0,263635.2
20231017:1210,806.51,29.27,12.31,6.28,0,290343.6
20231017:1310,703,27.19,12.93,6.21,0,253080
20231017:1410,598.37,22.67,13.34,6.14,0,215413.2
20231017:1510,172.25,16.21,13.47,5.79,0,62010
20231017:1610,58.41,8.36,12.93,5.45,0,21027.6
20231017:1710,0,0,12.23,5.86,0,0
20231017:1810,0,0,11.77,6.21,0,0
20231017:1910,0,0,11.09,5.93,0,0
20231017:2010,0,0,10.87,6,0,0
20231017:2110,0,0,10.89,6.21,0,0
20231017:2210,0,0,10.81,6,0,0
20231017:2310,0,0,10.77,5.72,0,0
20231018:0010,0,0,10.83,5.79,0,0
20231018:0110,0,0,10.86,5.93,0,0
20231018:0210,0,0,10.84,6.07,0,0
20231018:0310,0,0,10.92,6,0,0
20231018:0410,0,0,10.95,6.14,0,0
20231018:0510,0,0,11.18,6.28,0,0
20231018:0610,0,0,11.3,6.21,0,0
20231018:0710,6.62,4.03,11.42,6.41,0,2383.2
20231018:0810,31.22,12.35,11.62,6.48,0,11239.2
20231018:0910,119.4,19.51,12.04,6.28,0,42984
20231018:1010,65.27,25,12.23,6.34,0,23497.2
20231018:1110,59.6,28.26,12.22,6.34,0,21456
20231018:1210,137.17,28.9,12.61,6.48,0,49381.2
20231018:1310,58.65,26.83,12.72,6.55,0,21114
20231018:1410,28.38,22.32,12.94,6.48,0,10216.8
20231018:1510,38.79,15.87,13.18,6.55,0,13964.4
20231018:1610,9.46,8.03,13.14,6.48,0,3405.6
20231018:1710,0,0,13.12,5.86,0,0
20231018:1810,0,0,13.16,4.07,0,0
20231018:1910,0,0,12.68,2.07,0,0
20231018:2010,0,0,12.4,2.76,0,0
20231018:2110,0,0,12.25,3.03,0,0
20231018:2210,0,0,12.34,3.86,0,0
20231018:2310,0,0,12.9,5.45,0,0
20231019:0010,0,0,13.22,5.52,0,0
20231019:0110,0,0,13.05,4.41,0,0
20231019:0210,0,0,13.01,3.66,0,0
20231019:0310,0,0,13.62,3.93,0,0
20231019:0410,0,0,14.31,4.28,0,0
20231019:0510,0,0,14.52,4.55,0,0
20231019:0610,0,0,14.84,4.83,0,0
20231019:0710,40.07,3.76,14.31,4.76,0,14425.2
20231019:0810,92.47,12.06,14.42,4.62,0,33289.2
20231019:0910,36.89,19.2,14.98,5.1,0,13280.4
20231019:1010,249.2,24.66,15.76,4.83,0,89712
20231019:1110,108.79,27.91,16.2,5.03,0,39164.4
20231019:1210,64.33,28.53,15.79,5.1,0,23158.8
20231019:1310,147.91,26.46,15.46,4.41,0,53247.6
20231019:1410,105.95,21.97,15.65,4.14,0,38142
20231019:1510,104.4,15.53,15.8,3.93,0,37584
20231019:1610,17.03,7.71,15.2,4.28,0,6130.8
20231019:1710,0,0,14.43,3.52,0,0
20231019:1810,0,0,13.94,3.24,0,0
20231019:1910,0,0,13.51,3.17,0,0
20231019:2010,0,0,13.47,2.34,0,0
20231019:2110,0,0,13.23,2.14,0,0
20231019:2210,0,0,12.96,2.21,0,0
20231019:2310,0,0,12.89,2,0,0
20231020:0010,0,0,12.63,1.72,0,0
20231020:0110,0,0,12.44,1.86,0,0
20231020:0210,0,0,12.48,2.14,0,0
20231020:0310,0,0,12.2,2.48,0,0
20231020:0410,0,0,11.94,1.93,0,0
20231020:0510,0,0,11.86,1.72,0,0
20231020:0610,0,0,11.85,1.86,0,0
20231020:0710,2.84,3.49,11.62,2.14,0,1022.4
20231020:0810,41.62,11.78,11.64,2.48,0,14983.2
20231020:0910,70.95,18.89,11.67,2.62,0,25542
20231020:1010,164.44,24.33,12.11,2.83,0,59198.4
20231020:1110,307.42,27.55,12.92,3.93,0,110671.2
20231020:1210,715.62,28.17,13.55,3.79,0,257623.2
20231020:1310,574.66,26.1,13.83,3.59,0,206877.6
20231020:1410,85.14,21.62,14.02,3.66,0,30650.4
20231020:1510,115.67,15.2,13.29,3.45,0,41641.2
20231020:1610,152.68,7.39,12.99,3.66,0,54964.8
20231020:1710,0,0,12.75,3.52,0,0
20231020:1810,0,0,12.53,3.38,0,0
20231020:1910,0,0,12.32,2.76,0,0
20231020:2010,0,0,12.24,2.97,0,0
20231020:2110,0,0,11.93,3.03,0,0
20231020:2210,0,0,11.81,2.76,0,0
20231020:2310,0,0,11.79,2.76,0,0
20231021:0010,0,0,11.86,2.76,0,0
20231021:0110,0,0,11.88,2.69,0,0
20231021:0210,0,0,11.76,2.28,0,0
20231021:0310,0,0,11.56,2.14,0,0
20231021:0410,0,0,11.4,2.07,0,0
20231021:0510,0,0,11.29,1.93,0,0
20231021:0610,0,0,11.18,1.79,0,0
20231021:0710,2.84,3.23,10.65,0.97,0,1022.4
20231021:0810,13.24,11.49,10.93,0.97,0,4766.4
20231021:0910,78.52,18.59,11.26,2.34,0,28267.2
20231021:1010,88.92,24,10.96,3.45,0,32011.2
20231021:1110,66.22,27.2,10.37,3.79,0,23839.2
20231021:1210,93.65,27.81,10.13,3.86,0,33714
20231021:1310,64.33,25.75,10.36,3.86,0,23158.8
20231021:1410,358.22,21.27,10.76,3.1,0,128959.2
20231021:1510,199.85,14.87,11.42,2.69,0,71946
20231021:1610,52.42,7.07,11.68,2.69,0,18871.2
20231021:1710,0,0,11.05,3.03,0,0
20231021:1810,0,0,10.11,3.45,0,0
20231021:1910,0,0,9.44,3.52,0,0
20231021:2010,0,0,8.83,3.24,0,0
20231021:2110,0,0,8.36,2.83,0,0
20231021:2210,0,0,8.17,2.41,0,0
20231021:2310,0,0,7.56,2.34,0,0
20231022:0010,0,0,7.34,2.14,0,0
20231022:0110,0,0,7.09,2.07,0,0
20231022:0210,0,0,6.68,2.07,0,0
20231022:0310,0,0,6.52,1.93,0,0
20231022:0410,0,0,6.45,1.86,0,0
20231022:0510,0,0,6.26,1.79,0,0
20231022:0610,0,0,6.29,1.79,0,0
20231022:0710,22.6,2.96,6.33,2.14,0,8136
20231022:0810,151.58,11.2,7.58,1.93,0,54568.8
20231022:0910,486.52,18.28,10.07,2.14,0,175147.2
20231022:1010,590.2,23.67,11.61,2.9,0,212472
20231022:1110,777.97,26.85,12.34,3.86,0,280069.2
20231022:1210,613.4,27.46,13.13,4.28,0,220824
20231022:1310,105.95,25.39,13.4,4.14,0,38142
20231022:1410,162.67,20.93,13.38,3.79,0,58561.2
20231022:1510,163.13,14.54,13.33,3.1,0,58726.8
20231022:1610,8.15,6.76,12.83,2,0,2934
20231022:1710,0,0,11.88,1.79,0,0
20231022:1810,0,0,10.55,2.21,0,0
20231022:1910,0,0,9.93,2.34,0,0
20231022:2010,0,0,9.32,2.28,0,0
20231022:2110,0,0,8.5,2.41,0,0
20231022:2210,0,0,8.35,2.48,0,0
20231022:2310,0,0,8.3,2.62,0,0
20231023:0010,0,0,8.68,2.76,0,0
20231023:0110,0,0,9.14,2.83,0,0
20231023:0210,0,0,9.29,2.9,0,0
20231023:0310,0,0,9.47,2.97,0,0
20231023:0410,0,0,9.85,3.03,0,0
20231023:0510,0,0,10.14,3.17,0,0
20231023:0610,0,0,10.27,3.52,0,0
20231023:0710,15.46,2.69,10.35,3.93,0,5565.6
20231023:0810,109.03,10.92,11.07,4.14,0,39250.8
20231023:0910,172.21,17.97,11.97,4.62,0,61995.6
20231023:1010,310.96,23.34,13.56,6.28,0,111945.6
20231023:1110,415.28,26.51,14.25,6,0,149500.8
20231023:1210,366.21,27.1,14.63,5.38,0,131835.6
20231023:1310,279.96,25.04,14.92,5.24,0,100785.6
20231023:1410,182.03,20.59,14.85,4.9,0,65530.8
20231023:1510,98.6,14.22,14.4,4.48,0,35496
20231023:1610,11.77,6.46,13.68,4.14,0,4237.2
20231023:1710,0,0,12.71,3.72,0,0
20231023:1810,0,0,11.97,3.52,0,0
20231023:1910,0,0,11.84,4.28,0,0
20231023:2010,0,0,11.57,4.28,0,0
20231023:2110,0,0,11.57,4.21,0,0
20231023:2210,0,0,11.22,4,0,0
20231023:2310,0,0,11.12,3.72,0,0
20231024:0010,0,0,11.05,3.17,0,0
20231024:0110,0,0,10.7,2.34,0,0
20231024:0210,0,0,10.55,1.72,0,0
20231024:0310,0,0,10.21,1.66,0,0
20231024:0410,0,0,9.63,2,0,0
20231024:0510,0,0,8.82,2.21,0,0
20231024:0610,0,0,8.14,2.07,0,0
20231024:0710,23.49,2.42,8.06,1.72,0,8456.4
20231024:0810,274.22,10.63,8.13,1.31,0,98719.2
20231024:0910,458.67,17.67,10.38,1.59,0,165121.2
20231024:1010,662.47,23.01,11.75,2.76,0,238489.2
20231024:1110,638.21,26.16,12.68,3.52,0,229755.6
20231024:1210,747.18,26.75,13.21,3.86,0,268984.8
20231024:1310,614.64,24.7,13.53,3.72,0,221270.4
20231024:1410,525.77,20.26,13.43,3.24,0,189277.2
20231024:1510,116.56,13.9,13.03,2.55,0,41961.6
20231024:1610,23.53,6.15,12.35,1.72,0,8470.8
20231024:1710,0,0,11.6,1.66,0,0
20231024:1810,0,0,10.88,1.86,0,0
20231024:1910,0,0,10.43,1.93,0,0
20231024:2010,0,0,10.09,1.86,0,0
20231024:2110,0,0,9.91,2.07,0,0
20231024:2210,0,0,9.83,2.21,0,0
20231024:2310,0,0,9.73,2.41,0,0
20231025:0010,0,0,9.58,2.62,0,0
20231025:0110,0,0,9.53,2.76,0,0
20231025:0210,0,0,9.5,2.97,0,0
20231025:0310,0,0,9.35,3.24,0,0
20231025:0410,0,0,9.2,3.59,0,0
20231025:0510,0,0,8.94,3.72,0,0
20231025:0610,0,0,8.57,3.72,0,0
20231025:0710,8.51,2.15,8.69,4.34,0,3063.6
20231025:0810,74.81,10.35,8.48,3.93,0,26931.6
20231025:0910,71.89,17.36,8.45,3.79,0,25880.4
20231025:1010,193.62,22.69,8.89,4.48,0,69703.2
20231025:1110,198.71,25.82,9.94,3.72,0,71535.6
20231025:1210,434.03,26.4,10.81,3.31,0,156250.8
20231025:1310,574.52,24.35,11.33,2.76,0,206827.2
20231025:1410,449.95,19.93,11.68,2.41,0,161982
20231025:1510,139.59,13.59,11.71,1.52,0,50252.4
20231025:1610,30.77,5.85,11.41,0.34,0,11077.2
20231025:1710,0,0,10.94,0.41,0,0
20231025:1810,0,0,9.8,1.52,0,0
20231025:1910,0,0,10.1,1.79,0,0
20231025:2010,0,0,10.46,2.07,0,0
20231025:2110,0,0,10.62,2.55,0,0
20231025:2210,0,0,10.69,2.97,0,0
20231025:2310,0,0,10.83,2.9,0,0
20231026:0010,0,0,10.83,3.03,0,0
20231026:0110,0,0,10.8,2.76,0,0
20231026:0210,0,0,10.82,2.62,0,0
20231026:0310,0,0,10.73,2.48,0,0
20231026:0410,0,0,10.86,2.21,0,0
20231026:0510,0,0,11.05,2.14,0,0
20231026:0610,0,0,10.68,3.24,0,0
20231026:0710,0.95,1.89,10.67,3.31,0,342
20231026:0810,251.01,10.07,10.66,3.17,0,90363.6
20231026:0910,455.76,17.06,11.26,3.17,0,164073.6
20231026:1010,647.4,22.36,12.06,3.66,0,233064
20231026:1110,699.06,25.48,12.81,3.45,0,251661.6
20231026:1210,696.67,26.06,13.52,3.17,0,250801.2
20231026:1310,644.64,24.01,13.91,2.83,0,232070.4
20231026:1410,550.63,19.6,13.99,2.62,0,198226.8
20231026:1510,162.21,13.28,13.59,2.9,0,58395.6
20231026:1610,30.77,5.56,12.37,2.41,0,11077.2
20231026:1710,0,0,11.22,2.21,0,0
20231026:1810,0,0,10.57,2.14,0,0
20231026:1910,0,0,10.53,2,0,0
20231026:2010,0,0,10.27,2,0,0
20231026:2110,0,0,9.7,2.28,0,0
20231026:2210,0,0,9.64,2,0,0
20231026:2310,0,0,9.43,2,0,0
20231027:0010,0,0,9,2.07,0,0
20231027:0110,0,0,8.65,2,0,0
20231027:0210,0,0,8.47,1.86,0,0
20231027:0310,0,0,7.86,2,0,0
20231027:0410,0,0,7.35,2,0,0
20231027:0510,0,0,7.52,2.07,0,0
20231027:0610,0,0,7.83,2.14,0,0
20231027:0710,1.89,1.62,8.07,2.41,0,680.4
20231027:0810,189.04,9.78,8.57,2.28,0,68054.4
20231027:0910,448.04,16.76,9.87,2.28,0,161294.4
20231027:1010,627.72,22.04,11.19,3.31,0,225979.2
20231027:1110,724.23,25.15,11.72,3.52,0,260722.8
20231027:1210,726.14,25.72,12.29,3.66,0,261410.4
20231027:1310,70,23.68,12.98,3.72,0,25200
20231027:1410,479.45,19.28,12.3,4,0,172602
20231027:1510,286.24,12.97,11.88,3.59,0,103046.4
20231027:1610,28.96,5.27,11.4,2.9,0,10425.6
20231027:1710,0,0,10.5,2.97,0,0
20231027:1810,0,0,10.04,3.24,0,0
20231027:1910,0,0,9.67,3.17,0,0
20231027:2010,0,0,9.46,3.24,0,0
20231027:2110,0,0,9.39,2.97,0,0
20231027:2210,0,0,9.25,2.62,0,0
20231027:2310,0,0,9.03,2.55,0,0
20231028:0010,0,0,9.08,2.48,0,0
20231028:0110,0,0,9.04,2.48,0,0
20231028:0210,0,0,8.93,2.55,0,0
20231028:0310,0,0,8.86,2.62,0,0
20231028:0410,0,0,9.01,2.76,0,0
20231028:0510,0,0,9.22,3.03,0,0
20231028:0610,0,0,9.39,3.38,0,0
20231028:0710,0.95,1.35,9.57,3.45,0,342
20231028:0810,178.98,9.5,9.99,3.66,0,64432.8
20231028:0910,182.41,16.46,11.11,3.31,0,65667.6
20231028:1010,641.84,21.72,12.43,4.28,0,231062.4
20231028:1110,417.76,24.81,13.3,4.83,0,150393.6
20231028:1210,400.7,25.38,13.34,5.52,0,144252
20231028:1310,75.68,23.35,13.06,5.31,0,27244.8
20231028:1410,108.79,18.96,13.1,4.69,0,39164.4
20231028:1510,26.49,12.67,12.66,4.55,0,9536.4
20231028:1610,4.53,4.98,11.74,5.45,0,1630.8
20231028:1710,0,0,11.68,5.59,0,0
20231028:1810,0,0,11.73,5.66,0,0
20231028:1910,0,0,11.52,4.48,0,0
20231028:2010,0,0,11.45,4.14,0,0
20231028:2110,0,0,10.8,3.86,0,0
20231028:2210,0,0,10.03,3.52,0,0
20231028:2310,0,0,9.63,3.38,0,0
20231029:0010,0,0,9.14,3.24,0,0
20231029:0110,0,0,9.01,3.52,0,0
20231029:0210,0,0,9.15,4,0,0
20231029:0310,0,0,9.09,4,0,0
20231029:0410,0,0,9.07,4.14,0,0
20231029:0510,0,0,8.84,4.28,0,0
20231029:0610,0,0,8.74,4.41,0,0
20231029:0710,0,0,8.68,4.41,0,0
20231029:0810,281.14,9.22,9.09,4.34,0,101210.4
20231029:0910,438.39,16.16,10.06,3.72,0,157820.4
20231029:1010,75.68,21.4,11.09,5.52,0,27244.8
20231029:1110,262.93,24.48,11.87,5.45,0,94654.8
20231029:1210,740.79,25.04,12.21,5.52,0,266684.4
20231029:1310,471.02,23.02,12.76,5.52,0,169567.2
20231029:1410,80.41,18.65,11.72,5.79,0,28947.6
20231029:1510,389.34,12.37,11.45,5.38,0,140162.4
20231029:1610,25.34,4.7,11.41,5.66,0,9122.4
20231029:1710,0,0,10.7,5.45,0,0
20231029:1810,0,0,10.49,5.79,0,0
20231029:1910,0,0,10.55,5.17,0,0
20231029:2010,0,0,10.45,5.31,0,0
20231029:2110,0,0,10.18,5.31,0,0
20231029:2210,0,0,10.24,5.59,0,0
20231029:2310,0,0,10.31,5.79,0,0
20231030:0010,0,0,10.36,5.52,0,0
20231030:0110,0,0,10.17,5.03,0,0
20231030:0210,0,0,10.03,4.41,0,0
20231030:0310,0,0,9.92,3.86,0,0
20231030:0410,0,0,9.6,3.72,0,0
20231030:0510,0,0,9.6,3.72,0,0
20231030:0610,0,0,9.83,3.52,0,0
20231030:0710,0,0,9.65,3.1,0,0
20231030:0810,59.73,8.94,9.67,3.03,0,21502.8
20231030:0910,397.03,15.86,10.67,2.9,0,142930.8
20231030:1010,604.43,21.09,11.65,3.93,0,217594.8
20231030:1110,603.19,24.16,12.65,3.72,0,217148.4
20231030:1210,269.84,24.71,13.28,3.59,0,97142.4
20231030:1310,565.38,22.69,13.22,3.52,0,203536.8
20231030:1410,354.58,18.34,12.81,3.38,0,127648.8
20231030:1510,305.34,12.08,11.71,3.17,0,109922.4
20231030:1610,24.44,4.42,11.5,2.83,0,8798.4
20231030:1710,0,0,10.44,2.21,0,0
20231030:1810,0,0,9.72,2,0,0
20231030:1910,0,0,9.77,2.83,0,0
20231030:2010,0,0,9.4,2.9,0,0
20231030:2110,0,0,9.22,2.9,0,0
20231030:2210,0,0,9.09,2.69,0,0
20231030:2310,0,0,8.98,2.48,0,0
20231031:0010,0,0,8.96,2.34,0,0
20231031:0110,0,0,9,2.62,0,0
20231031:0210,0,0,9.21,2.55,0,0
20231031:0310,0,0,9.52,2.28,0,0
20231031:0410,0,0,9.45,2,0,0
20231031:0510,0,0,9.38,1.93,0,0
20231031:0610,0,0,8.99,2.21,0,0
20231031:0710,0,0,9.3,2.21,0,0
20231031:0810,63.33,8.67,9.59,2.34,0,22798.8
20231031:0910,365.83,15.56,10.38,2.62,0,131698.8
20231031:1010,349.95,20.78,11.61,4.62,0,125982
20231031:1110,480.3,23.83,12.4,4.76,0,172908
20231031:1210,160.94,24.39,12.92,4.69,0,57938.4
20231031:1310,399.53,22.37,13.27,4.69,0,143830.8
20231031:1410,137.41,18.03,13.3,4.48,0,49467.6
20231031:1510,185.89,11.79,12.6,3.59,0,66920.4
20231031:1610,10.86,4.15,11.8,3.1,0,3909.6
20231031:1710,0,0,11,2.83,0,0
20231031:1810,0,0,10.73,2.76,0,0
20231031:1910,0,0,10.42,2.97,0,0
20231031:2010,0,0,10.32,3.1,0,0
20231031:2110,0,0,10.38,3.24,0,0
20231031:2210,0,0,10.91,3.17,0,0
20231031:2310,0,0,11.68,4.28,0,0
20231101:0010,0,0,12.31,5.38,0,0
20231101:0110,0,0,12.47,5.59,0,0
20231101:0210,0,0,12.28,6.28,0,0
20231101:0310,0,0,12.49,6.97,0,0
20231101:0410,0,0,12.69,8.28,0,0
20231101:0510,0,0,12.34,7.59,0,0
20231101:0610,0,0,11.03,5.52,0,0
20231101:0710,0,0,10.89,5.31,0,0
20231101:0810,36.89,8.39,10.74,5.59,0,13280.4
20231101:0910,165.78,15.27,10.97,5.93,0,59680.8
20231101:1010,334.03,20.47,11.47,5.86,0,120250.8
20231101:1110,468.48,23.51,11.39,6.14,0,168652.8
20231101:1210,296.08,24.06,11.51,6.62,0,106588.8
20231101:1310,582.8,22.06,11.08,6.97,0,209808
20231101:1410,22.7,17.73,10.61,6.55,0,8172
20231101:1510,303.23,11.51,10.51,5.72,0,109162.8
20231101:1610,21.72,3.88,10.15,5.03,0,7819.2
20231101:1710,0,0,9.48,4.34,0,0
20231101:1810,0,0,9.5,4.41,0,0
20231101:1910,0,0,8.92,4.28,0,0
20231101:2010,0,0,9.11,4.76,0,0
20231101:2110,0,0,9.06,5.79,0,0
20231101:2210,0,0,9.32,7.59,0,0
20231101:2310,0,0,9.35,8.97,0,0
20231102:0010,0,0,10.14,7.38,0,0
20231102:0110,0,0,10.36,6.83,0,0
20231102:0210,0,0,9.95,5.93,0,0
20231102:0310,0,0,9.59,5.38,0,0
20231102:0410,0,0,9.38,4.41,0,0
20231102:0510,0,0,9.52,3.38,0,0
20231102:0610,0,0,9.28,3.52,0,0
20231102:0710,0,0,9.06,4.76,0,0
20231102:0810,65.75,8.11,8.94,5.52,0,23670
20231102:0910,78.3,14.98,9.03,6.48,0,28188
20231102:1010,80.41,20.16,8.9,6.62,0,28947.6
20231102:1110,83.25,23.19,8.61,7.52,0,29970
20231102:1210,38.79,23.74,8.56,8.55,0,13964.4
20231102:1310,158.31,21.75,8.5,8.97,0,56991.6
20231102:1410,58.65,17.43,8.47,8.9,0,21114
20231102:1510,26.49,11.23,8.55,8.34,0,9536.4
20231102:1610,8.15,3.62,8.72,7.79,0,2934
20231102:1710,0,0,8.92,7.52,0,0
20231102:1810,0,0,9.05,7.52,0,0
20231102:1910,0,0,9.04,7.17,0,0
20231102:2010,0,0,9.15,7.17,0,0
20231102:2110,0,0,8.98,6.62,0,0
20231102:2210,0,0,9.06,6.14,0,0
20231102:2310,0,0,9.16,5.59,0,0
20231103:0010,0,0,9.11,5.17,0,0
20231103:0110,0,0,8.92,4.83,0,0
