time,irradiance,H_sun,T2m,WS10m,Int,irradianceTotal
20230116:1710,0,0,0.84,2.28,0,0
20230116:1810,0,0,-0.6,1.52,0,0
20230116:1910,0,0,0.11,0.69,0,0
20230116:2010,0,0,-0.25,0.41,0,0
20230116:2110,0,0,-0.66,0.9,0,0
20230116:2210,0,0,-1.37,0.97,0,0
20230116:2310,0,0,-1.33,0.83,0,0
20230117:0010,0,0,-1.99,0.9,0,0
20230117:0110,0,0,-2.01,0.76,0,0
20230117:0210,0,0,-2.46,0.97,0,0
20230117:0310,0,0,-3.23,1.24,0,0
20230117:0410,0,0,-3.33,1.24,0,0
20230117:0510,0,0,-3.42,1.24,0,0
20230117:0610,0,0,-3.29,1.17,0,0
20230117:0710,0,0,-3.71,1.72,0,0
20230117:0810,0,0,-3.7,1.72,0,0
20230117:0910,253.08,6.78,-3.48,1.66,0,91108.8
20230117:1010,248.63,12.44,-1.73,1.38,0,89506.8
20230117:1110,649.58,16.21,-0.08,1.59,0,233848.8
20230117:1210,629.16,17.76,0.95,2.07,0,226497.6
20230117:1310,637.55,16.93,1.49,2.41,0,229518
20230117:1410,497.75,13.81,1.83,2.76,0,179190
20230117:1510,279.54,8.69,1.59,1.93,0,100634.4
20230117:1610,3.62,1.96,0.67,1.86,0,1303.2
20230117:1710,0,0,-0.72,2,0,0
20230117:1810,0,0,-1.66,2.14,0,0
20230117:1910,0,0,-2,2.41,0,0
20230117:2010,0,0,-2.17,2.55,0,0
20230117:2110,0,0,-2.29,2.69,0,0
20230117:2210,0,0,-2.13,2.62,0,0
20230117:2310,0,0,-2.17,2.76,0,0
20230118:0010,0,0,-2.07,2.9,0,0
20230118:0110,0,0,-1.92,2.97,0,0
20230118:0210,0,0,-1.76,2.97,0,0
20230118:0310,0,0,-1.53,3.03,0,0
20230118:0410,0,0,-1.33,3.17,0,0
20230118:0510,0,0,-1.11,3.31,0,0
20230118:0610,0,0,-0.84,3.38,0,0
20230118:0710,0,0,-0.07,3.38,0,0
20230118:0810,0,0,-0.03,3.38,0,0
20230118:0910,100.62,6.92,0.3,3.45,0,36223.2
20230118:1010,421.38,12.6,1.18,3.66,0,151696.8
20230118:1110,619.87,16.39,2.47,3.52,0,223153.2
20230118:1210,503.37,17.96,2.93,3.59,0,181213.2
20230118:1310,462.54,17.14,3.39,3.72,0,166514.4
20230118:1410,515.01,14.02,3.81,4.07,0,185403.6
20230118:1510,179.76,8.9,3.74,4.14,0,64713.6
20230118:1610,4.53,2.17,2.88,3.72,0,1630.8
